web-scraper-order,web-scraper-start-url,autoscout24,autoscout24-href,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw
"1733470961-65","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/vw-t61-california-20-tdi-ocean-liberty-4motion-11720633","VW T6.1 California 2.0 TDI Ocean Liberty 4Motion","CHF 71'900.–","21'000 km","Diesel","St. Gallerstrasse 99, 9032 Engelburg"
"1733470963-66","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/fiat-pilote-g740-c-11761882","FIAT Pilote G740 C","CHF 72'900.–","36'000 km","Diesel","Rte de Gollion 15, 1305 Penthalaz"
"1733470965-67","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/laika-11836798","LAIKA","CHF 23'900.–","163'290 km","Diesel","Tannbachstrasse 2, 6264 Pfaffnau"
"1733470968-68","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/vw-t4-california-9992816","VW T4 california","CHF 17'000.–","300'000 km","Diesel","schwarzenburgstrasse 844, 3145 Niederscherli-Bern"
"1733470970-69","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/challenger-620-11078580","CHALLENGER 620","CHF 22'500.–","139'890 km","Diesel","1350 Orbe"
"1733470973-70","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/dethleffs-fiat-3l-iveco-11674378","DETHLEFFS Fiat 3L Iveco","CHF 59'800.–","57'000 km","Diesel","Dorf 10, 9127 St. Peterzell"
"1733470975-71","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/fiat-ducato-11806861","FIAT Ducato","CHF 26'900.–","28'652 km","Diesel","Industrieweg 14, 3426 Aefligen"
"1733470977-72","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/roller-team-zefiro-285-tl15-11908061","ROLLER TEAM Zefiro 285 TL15","CHF 64'890.–","31'300 km","Diesel","Hauptstrasse 70, 8546 Islikon"
"1733470982-73","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/mercedes-benz-312d-kaiser-11927979","MERCEDES-BENZ 312D Kaiser","CHF 21'800.–","154'000 km","Diesel","Rieden 10, 6370 Stans"
"1733470986-74","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/dethleffs-globetrail-600-dr-11874811","DETHLEFFS Globetrail 600 DR","CHF 85'000.–","23'000 km","Diesel","Obermühleweg 5, 7302 Landquart"
"1733470988-75","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/fiat-i675-11969748","FIAT i675","CHF 30'000.–","111'000 km","Diesel","Industriestrasse 6, 8604 Volketswil"
"1733470991-76","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/sun-living-v-series-v60-sp-tentop-a245-10508807","SUN LIVING V-SERIES V60 SP TenTop (A245)","CHF 65'900.–","22'000 km","Diesel","Wannenweg 1, 4133 Pratteln"
"1733470993-77","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/fiat-290-14-11790880","FIAT 290 / 14","CHF 4'800.–","151'000 km","Diesel","Murtenstrasse 59, 1784 Courtepin (Kanton Freiburg)"
"1733470995-78","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/vw-t61-california-20-tdi-ocean-liberty-4motion-11808037","VW T6.1 California 2.0 TDI Ocean Liberty 4Motion","CHF 69'000.–","98'000 km","Diesel","Route de la Gare 62, 1690 Villaz-St-Pierre"
"1733470998-79","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/vw-cali-bitdi-oce-lib-4m-a-10841092","VW Cali. BiTDI Oce. Lib 4M A","CHF 79'900.–","12'300 km","Diesel","Rue de Vuippens 57, 1630 Bulle"
"1733471000-80","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/mercedes-benz-sprinter-212-d-9625782","MERCEDES-BENZ Sprinter 212 D","CHF 7'999.–","40'000 km","Diesel","schwarzenburgstrasse 844, 3145 Niederscherli-Bern"
"1733471003-81","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/fiat-knaus-celebrat-650meg-10649554","FIAT KNAUS célébrât 650meg","CHF 41'900.–","182'000 km","Diesel","Rue Centrale 7, 1563 Dompierre FR"
"1733471005-82","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/vw-cali-tdi-beaed-sp-a-10769669","VW Cali. TDI Bea.Ed. Sp. A","CHF 67'000.–","14'300 km","Diesel","Spisi 9, 1714 Heitenried"
"1733471007-83","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/fiat-challenger-trigano-11351138","FIAT challenger trigano","CHF 17'990.–","224'000 km","Diesel","Rue Du Levant 21, 1963 Vétroz"
"1733471010-84","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/fiat-ducato-15q-28-jtd-11475040","FIAT Ducato 15Q 2.8 JTD","CHF 19'500.–","115'000 km","Diesel","gewerbestrasse 16, 4562 Biberist"
"1733471013-85","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/mercedes-benz-4x4-312-11607748","MERCEDES-BENZ 4x4 312","CHF 34'800.–","31'000 km","-","Dorf 10, 9127 St. Peterzell"
"1733471017-86","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=75","","https://www.autoscout24.ch/de/d/toyota-4x4-untersetzung-11675616","TOYOTA 4x4 Untersetzung","CHF 34'800.–","16'700 km","Benzin","Dorf 10, 9127 St. Peterzell"
