web-scraper-order,description_raw,location_raw,price_raw,price,price_cat,mileage_raw,mileage,mileage_cat,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733472536-461,"KNAUS SKY TI 700 MEG PLATINUM SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 67'997.–,67997,50000 - 99999,37'312 km,37312,low,Diesel,1,St. Gallen,17,47.41733932495117,9.236328125
1733472539-462,BRAVIA SWAN 636 165 PS SWISS ED.HIGH ROOF,"UNTERE BRÜHLSTRASSE 48, 4800 ZOFINGEN",CHF 74'900.–,74900,50000 - 99999,20'000 km,20000,low,Diesel,1,Solothurn,11,47.15397644042969,7.59208869934082
1733472546-464,VW T6.1 CALIFORNIA 2.0 TDI OCEAN 4MOTION ANHÄNGELAST 2500KG SEITENSTOREN UND ELEKTRISCHES HOCHDACH  NEUPREIS 95840 CHF,"ZENTRALSTRASSE 121, 8212 NEUHAUSEN AM RHEINFALL",CHF 66'900.–,66900,50000 - 99999,42'014 km,42014,low,Diesel,1,Zürich,01,47.41579055786133,8.562726974487305
1733472553-466,VW T6 CALIFORNIA 2.0 BI-TDI OCEAN BLUE,"KAPPELEN 30B, 3156 RIFFENMATT",CHF 55'800.–,55800,50000 - 99999,33'100 km,33100,low,Diesel,1,Vaud,22,46.344478607177734,6.943572521209717
1733472561-468,YUCON 6.0,"KIRCHBERGSTRASSE 61, 3421 LYSSACH",CHF 99'900.–,99900,50000 - 99999,12'266 km,12266,low,Diesel,1,Luzern,03,47.05141830444336,8.273253440856934
1733472565-469,VW T6 CALIFORNIA 2.0 TDI OCEAN LIBERTY 4MOTION,"GRUBENSTRASSE 7, 8957 SPREITENBACH",CHF 51'900.–,51900,50000 - 99999,61'500 km,61500,low-mid,Diesel,1,Luzern,03,47.19865417480469,8.108717918395996
1733472569-470,FORD 100L,"SEETALSTRASSE 35, 5503 SCHAFISHEIM",CHF 10'900.–,10900,0 - 19999,274'000 km,274000,mid-high,Benzin,0,Luzern,03,47.040523529052734,8.134263038635254
1733472573-471,ITINEO 740 AUF FIAT DUCATO,"OBFELDERSTRASSE 38, 8910 AFFOLTERN AM ALBIS",CHF 59'800.–,59800,50000 - 99999,17'598 km,17598,low,Diesel,1,Bern,02,47.070003509521484,7.3112287521362305
1733472586-472,MERCEDES-BENZ SPRINTER 313 CDI 4X4 AUTOMATIK / OFF-ROAD AUTARK CAMPER **FRISCH AB MFK**,"BASELSTRASSE 25, 4534 FLUMENTHAL",CHF 46'990.–,46990,20000 - 49999,63'109 km,63109,low-mid,Diesel,1,Bern,02,47.07384490966797,7.588680267333984
1733472590-473,MERCEDES-BENZ MARCO POLO 250 D  4M AUTOMAT,"UNTERWILRAIN 16, 6014 LUZERN",CHF 69'500.–,69500,50000 - 99999,32'000 km,32000,low,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
