web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,mileage_cat,lat,lon
1733476211-1325,VW T6 California 2.0 TDI Ocean Edition,CHF 57'800.–,66'000 km,Diesel,6012 Obernau,57800,66000,1,50000 - 99999,low-mid,47.134578704833984,7.60539436340332
1733476214-1326,VW T5 California 2.0 Bi-TDI Comfortline Travel 4Motion,CHF 55'800.–,98'800 km,Diesel,3012 Bern,55800,98800,1,50000 - 99999,low-mid,46.798423767089844,10.29100227355957
1733476216-1327,OPEL MOVANO L2H2,CHF 32'000.–,176'000 km,Diesel,3084 Wabern,32000,176000,1,20000 - 49999,mid,47.45597457885742,8.637772560119629
1733476223-1328,VW T6.1 California 2.0 Bi-TDI Ocean Liberty 4Motion,CHF 69'900.–,25'400 km,Diesel,"Benknerstrasse 20, 8730 Uznach",69900,25400,1,50000 - 99999,low,46.68606948852539,7.893071174621582
1733476226-1329,FORD Transit C Nugget 340 L2 2.0 TDCi 150 Plus Aufstelldach,CHF 64'900.–,19'000 km,Diesel,"Dorfstrasse 46, 8912 Obfelden",64900,19000,1,50000 - 99999,low,47.17515563964844,7.4493303298950195
1733476229-1330,MERCEDES-BENZ Marco Polo 300 d 4M Automat,CHF 78'500.–,13'500 km,Diesel,"Rte du Simplon 1, 1845 Noville",78500,13500,1,50000 - 99999,low,46.25046920776367,7.024350166320801
1733476261-1341,FIAT Rimor,CHF 33'000.–,70'000 km,Diesel,1958 St-Léonard,33000,70000,1,20000 - 49999,low-mid,47.398292541503906,7.688503265380859
1733476263-1342,VW Grand California 600 2.0 BI-TDI,CHF 59'000.–,66'000 km,Diesel,8910 Affoltern am Albis,59000,66000,1,50000 - 99999,low-mid,46.932579040527344,7.119632720947266
1733476266-1343,CARTHAGO chic c-line T4.9 / 3.5t oder 4.5t,CHF 104'900.–,38'000 km,Diesel,3303 Jegenstorf,104900,38000,1,100000 - 199999,low,46.22296905517578,6.9822187423706055
1733476270-1344,MERCEDES-BENZ Sprinter Wohnmobil / Campervan,CHF 50'900.–,99'900 km,Diesel,8604 Volketswil,50900,99900,1,50000 - 99999,low-mid,46.536598205566406,6.896896839141846
1733476273-1345,MITSUBISHI L 300,CHF 23'000.–,226'000 km,Benzin,3992 Bettmeralp,23000,226000,0,20000 - 49999,mid-high,47.19595718383789,8.717085838317871
1733476275-1346,VW T6 California 2.0 TDI Beach 4Motion,CHF 59'500.–,97'000 km,Diesel,8308 Illnau,59500,97000,1,50000 - 99999,low-mid,47.26358413696289,8.96681022644043
1733476279-1347,VW T6.1 Offroad California Beach 180 PS 4Motion DSG Diffsperren,CHF 106'500.–,22'500 km,Diesel,6022 Grosswangen,106500,22500,1,100000 - 199999,low,47.42481231689453,8.30782413482666
1733476289-1348,VW T6 California 2.0 Bi-TDI Beach Edition 4Motion,CHF 58'900.–,82'000 km,Diesel,"Gontenstrasse 1, 9050 Appenzell",58900,82000,1,50000 - 99999,low-mid,46.62790298461914,6.5098347663879395
1733476292-1349,FORD Transit C Nugget 320 L1 2.0 TDCi 185 Limited Aufstelldach,CHF 66'500.–,15'000 km,Diesel,"Dorfstrasse 46, 8912 Obfelden",66500,15000,1,50000 - 99999,low,47.317588806152344,8.586783409118652
1733476295-1350,VW T6.1 California 2.0 Bi-TDI Beach,CHF 58'900.–,66'000 km,Diesel,"Wilerstrasse 106, 8370 Sirnach",58900,66000,1,50000 - 99999,low-mid,47.54212188720703,7.589999198913574
1733476302-1352,VW T6.1 California 2.0 Bi-TDI Ocean Liberty 4Motion,CHF 79'990.–,24'000 km,Diesel,"Giessenstrasse 4, 8600 Dübendorf",79990,24000,1,50000 - 99999,low,46.552494049072266,6.573101043701172
1733476323-1358,VW MAN TGE Custom mit Aufstelldach,CHF 94'800.–,24'365 km,Diesel,3612 Steffisburg,94800,24365,1,50000 - 99999,low,46.22023391723633,6.075229167938232
1733476333-1361,RENAULT dCi149 L2H1,CHF 14'900.–,120'000 km,Diesel,3012 Bern,14900,120000,1,0 - 19999,mid,47.64026641845703,9.195489883422852
1733476336-1362,FIAT Dethleffs Advantage T 6511,CHF 44'999.–,28'000 km,Diesel,4102 Binningen,44999,28000,1,20000 - 49999,low,47.447879791259766,8.460655212402344
